"kw","km","year","ac","gears","hatchback","wagon","coupe","price"
88,224500,2004,1,0,1,0,0,2890
70,136676,2002,0,0,1,0,0,2100
88,186000,2003,1,0,0,0,0,3100
60,200000,2003,0,0,1,0,0,1900
60,202000,2003,0,0,0,0,0,2400
83,97037,2003,1,0,1,0,0,2290
88,115000,2005,1,0,0,0,0,3400
88,153500,2007,1,0,0,1,0,3499
83,140000,2003,0,0,1,0,0,2599
78,170000,2007,0,0,0,1,0,3790
63,184000,2010,1,0,0,1,0,6800
70,288000,2002,0,0,0,1,0,2000
78,157000,2008,0,0,1,0,0,3950
78,146000,2005,0,0,0,0,0,3399
63,204000,2008,1,0,1,0,0,3200
79,180000,2001,0,0,0,0,0,2249
81,67500,2010,0,0,1,0,0,6200
60,262000,2005,0,0,1,0,0,2550
88,156000,2004,0,0,0,0,0,2600
88,268000,2003,1,0,1,0,0,2500
81,210860,2010,1,0,0,1,0,6990
88,210000,2005,0,0,0,1,0,3300
75,260400,2002,0,0,1,0,0,2300
81,48000,2009,1,0,1,0,0,6800
80,128000,2001,0,0,1,0,0,2100
66,149000,2012,0,0,0,0,0,7050
88,158100,2003,1,0,0,0,0,2980
63,182480,2007,0,0,0,1,0,3890
75,220000,2001,1,0,1,0,0,1699
66,180000,2003,0,0,1,0,0,1990
66,196672,2011,0,0,0,1,0,5990
74,210000,2011,0,0,1,0,0,6500
81,113000,2010,0,0,1,0,0,5350
77,144000,2008,1,0,0,0,1,4950
63,169000,2007,0,0,0,0,0,4500
88,123300,2002,1,0,1,0,0,3200
60,206000,2003,0,0,0,0,0,2590
88,210000,2005,0,0,0,1,0,3000
59,250000,2002,0,0,0,1,0,1950
88,195752,2005,1,0,0,0,0,3799
88,211000,2004,0,0,1,0,0,2499
88,164800,2004,0,0,0,1,0,2950
75,193000,2002,0,0,0,1,0,2350
75,236000,2002,0,0,0,1,0,1800
96,249000,2007,0,0,0,1,0,3500
88,198000,2005,0,0,0,1,0,3000
88,167000,2003,0,0,0,0,0,2350
60,210000,2003,0,0,1,0,0,1900
74,121000,2006,0,0,1,0,0,2999
66,210000,2002,0,0,1,0,0,1999
60,164196,2003,1,0,1,0,0,3050
88,206000,2003,1,0,1,0,0,3850
83,164509,2004,0,1,0,1,0,3800
60,140000,2004,1,0,1,0,0,2990
88,285000,2003,1,0,1,0,0,2300
60,199000,2002,0,0,1,0,0,2650
165,181000,2004,1,0,1,0,0,5500
60,175812,2003,0,0,0,0,0,3000
79,223450,2002,0,0,1,0,0,2350
63,170000,2004,1,0,0,1,0,4400
75,187000,2002,0,0,0,0,1,1850
96,190000,2006,1,0,1,0,0,4200
66,209844,2010,0,0,0,1,0,6550
88,142000,2004,1,0,0,1,0,2400
83,167000,2003,1,0,1,0,0,2499
77,157000,2006,1,0,1,0,0,3600
60,230000,2003,0,0,1,0,0,1590
88,171000,2003,1,0,0,0,0,3100
78,130000,2008,1,0,0,0,0,4699
60,295200,2003,0,0,1,0,0,2450
75,180000,2003,0,0,0,1,0,2000
88,220000,2004,1,0,1,0,0,2850
62,180000,2005,0,0,0,1,0,2699
66,141000,2012,0,0,0,0,0,6900
